__label__贴片电容 , 	贴片 电容 贴片 电容 贴片 电容 1000 uf 6.3 v 1000 uf 6.3 v 8 * 10.5 400.0 0.278 lc
__label__温控开关 , 	ksd.301 70 103pab ksd 301 常闭 b 70 10a through hole xcfuse 旭程
__label__贴片电阻 , 	128.0 54.0 r2 r206 r213 r216 r221 r222 r235 r236 r237 r238 r239 r240 r241 r242 r254 r268 r269 r270 r271 r273 r274 r301 r302 r315 r321 r322 r323 r324 r325 r326 r327 r328 r337 r338 r340 r341 r343 r344 r346 r347 r349 r350 r351 r352 r355 r356 r358 r359 r505 r509 r515 r516 r536 r537 33r r0402 res mf 33 ohm 1 16w 5% 0402 1080
__label__贴片电阻 , 	1k 0402 yage 0402 1k 1 16w rc0402r 071kl r4 1 120
__label__FFCFPC连接器 , 	连接器 fpc16 fpc16 j2 1 抽屉式 下接 脚 脚间距 1mm 3
__label__功率电感 , 	cigt201610lh2r2mne fixed ind 2.2 uh 1.8 a 139mohm
__label__线对板线对线连接器 , 	脚距 2.54 mm p 2.54 mm
__label__线对板线对线连接器 , 	1969295 4 conn rcpt hsg 2pos natural
__label__贴片高精密-低温漂电阻 , 	ar05btcw1102 ± 25ppm ℃ 1 8w 贴型 11k ω 1102 11k ± 0.1% 贴型 0805
__label__贴片高精密-低温漂电阻 , 	arg06ftc5600 1 4w 560 ω 5600 贴型 560 ± 25ppm ℃ 贴型 ± 1% 1206
__label__轻触开关 , 	ts 1095e a8b3 d2 板式 四脚 贴片 黑柄 按键 250gf smd 6x6x7.5 mm yuandi 元迪
__label__氧化铌电容 , 	nojb226m010rwb nojb226m010rwb nd cap niob oxide 22 uf 20% 10v 1210
__label__功率电感 , 	nrs5040t330mmgj fixed ind 33uh 1.2 a 234 mohm smd taiyo
__label__功率电感 , 	vls252010mnt 2r2m 2.2 uh ± 20% 1.45 a smd 2.5 x2mm
__label__功率电感 , 	l1 inductor 2.2 uh 3.7 a 30% 26mohm 6.00 x6.00 mm nr6028t2r2n
__label__排针排母 , 	a2005wv 2x8p 针座 连接器 0.079 2.00 mm 2.0 排针 直插 16 位 连接器
__label__功率电感 , 	swpa3012s470mt 片式 电感 47 μ h ± 20% dcr 1.45 ω 3.0 3.0 mm sunlord
__label__功率电感 , 	slw5020s330mst 0.83 a ± 20% 33uh smd 5x5x2mm sunltech
__label__采样电阻 , 	ww25nr010ftl 贴型 ± 1000ppm ° c 1w 贴型 0.01 ± 1% 0.010 ω r010 2512
__label__贴片电感 , 	94 贴片 电感 100uh 0805 1 4
__label__FFCFPC连接器 , 	afc07 s06eca fpc 连接器 0.5 mm 卧式 上接 6p js
__label__直插电解电容 , 	ekzn630ell181mj16s cap alum 180 uf 20% 63v radial united chemi con 405 0.3591 9 16days dgk
__label__压敏电阻 , 	rm07d390kc1iecw0 压敏 电阻 压敏 39 35.1 42.9 v 钳位 77v 浪涌 电流 250a 脚距 5.08 mm dersonic
__label__PTC热敏电阻 , 	ptc kty82 110 215 568 11219 1 nd thermistor ptc 1k ohm to236ab
__label__贴片电容 , 	0805 1 uf 105 10% 50v cc0805kkx7r9bb105 c45 c48 c55 3 30
__label__直插瓷片电容 , 	cc3a471kc1geb45h30mf 高压 电容 容值 4.7 nf ± 10% 额定值 1000v dersonic
__label__轻触开关 , 	1ts002b 1800 4301 ct ppa smd 3.5 x6x4.3 mm hyp 鸿源 精密
__label__无源晶体振荡器 , 	1232932050101 晶振 贴片 32.768 kh smd3215 2p fc135 g06o 32.768 khz smd 2p 3.5 * 1.5 * 0.85 mm 40 ℃ 85 ℃ 6pf 频率 ± 10 * 10 6 y2 y3 2 200
__label__贴片电阻 , 	贴片 电阻 贴片 电阻 0805 ± 25ppm ℃ 10k ω ± 0.5% 100v 1 8w 860
__label__压敏电阻 , 	varistor cnr330kd07 突波 吸收器 33v 7 ψ cnr 7000
__label__发光二极管 , 	tj s1706sw6tglc0a a5 灯珠侧 发橙光 smd togialed
__label__轻触开关 , 	pts641sk25smtr2lfs 5n smd c k
__label__功率电感 , 	tmpc0402hp 5r6mg z02 ± 20% 5.6 uh smd 4.45 x4.06 x1.8 mm tai tech
__label__贴片电容 , 	68 310011160 1 17500 cap 10 uf 10v 10% x5r 0603 c1608x5r1a106k
__label__贴片高精密-低温漂电阻 , 	ar02btd0100 ± 0.1% 贴型 10 ω 0100 10 ± 50ppm ℃ 贴型 1 16w 0402
__label__MOSFET , 	场效应管 bss123 sot 23 100v 0.17 a 6r 10v mn1 mn2 mn3 mn4 mn5 mn6 mn7 mn9 mn10 mn11 mn12 mn13 mn14 mn15 mn16 mn18 mn19 mn20 mn21 mn22 mn23 21.0 105.0 sot 23 bss123 pce smd q bss123 s sot 23 sot 23
__label__压敏电阻 , 	b72220s0511k101 820v 820 738 902 738v 670v 902v 6.5 ka through hole
__label__带灯开关 , 	k6 6151f04 绿色 带灯 开关 through hole 7.3 x7.3 mm hro
__label__贴片电容 , 	c25 27 10pf 0402 capacitor tbd 0402 610wind 10pf 5% c1005c0g1h100d ec1614
__label__功率电感 , 	fixed ind 250nh 50a 0.165 mohm 250nh l57 inc 744309025
__label__发光二极管 , 	ltst c191kgkt led green clear 0603 smd liteon
__label__安规电容 , 	mp2185kge6rlc ± 10% 1.8 uf x2 安规 电容 275v 275vac 22.5 through hole p 22.5 mm srd
__label__以太网芯片 , 	1394 接口 集成电路 three port cable xcvr arbiter
__label__功率电感 , 	fnr6045s330mt 磁封胶 功率 绕线 电感 33 ± 20% μ h 饱和电流 1.8 a 6.0 6.0 4.5 mm cjiang
__label__功率电感 , 	lvs303012 2r2m n 1.1 a 2.2 uh ± 20% smd 3x3mm chilisin
__label__板对板连接器 , 	2.54 mmheader 8x1 way 2.54 mmheader 9 2.54 mm ssw 108 01 g s to connectors 2.54 mm pitch ths series 2.54 mm pitch headers
__label__功率电感 , 	jshc0630h r68m g 14a ± 20% 680nh smd 7.8 x7.0 x3.0 mm jinlai 金籁
__label__功率电感 , 	ynr4018 3r3m 1.23 a ± 20% 3.3 uh smd 4.0 x4.0 x1.8 mm yjycoin 益嘉源
__label__发光二极管 , 	tj s3227sw1tcglc2r2g a5 smd3227 红 翠绿 双色 smd 3.2 x2.7 x1.1 mm togialed
__label__开关二极管 , 	1ss387 diode gen purp 80v 100ma esc 1ss387 l3f 1ss387 toshiba semiconductor and storage 168
__label__金属膜电阻 , 	13 插件 电阻 1k5 1 8w 1% r77 r87 2 0.0205
__label__安规电容 , 	yx4041j 275vac ± 10% x2104k2eae70aah zcsd 黄色 x2 安规 电容 100nf 18 * 12 * 6 p 15 crc 创容
__label__功率电感 , 	aspi 0804t 220m t 固定 电感器 22uh 20% 55c 125c abracon
__label__有源晶体振荡器 , 	7l26002009 tcxo 振荡器 26mhz 2.8 v 40c 85c txc
__label__贴片电阻 , 	91 61a.0603 7501f0 厚膜 电阻 rc 7501 0603 1% 1 10w 100ppm 2 0603 crcw06037k50fkeac r319 r324 110
__label__排针排母 , 	hdr 10p dual j15 alex hdr 10p 10 pin berg wm26910 nd
__label__功率电感 , 	sls6d38s220mtt ± 20% 22uh smd 7x7x4mm max sunltech
__label__发光二极管 , 	mhk2512rgtd led housing 双 led 5mm 红绿 双色 黄绿 570nm 光 meihua
__label__金属膜电阻 , 	薄膜 电阻器 mrs25000c4751fct00 resistor axial metal film 4k75 0 6w 1% . 28ssop
__label__PTC热敏电阻 , 	ptc b59721a0070a062 495 4310 6 nd thermistor ptc 680 ohm 50% 0805
__label__功率电感 , 	yt1040 330m ± 20% 4.4 a 33uh smd.10 . 3x11.5 x4mm wenshan 文善
__label__贴片高精密-低温漂电阻 , 	arg05ftc0270 25ppm 贴型 27 1 8w 贴型 27 ω 27r0 ± 1% 0805
__label__压敏电阻 , 	ste10d681k1eq0fqt0r0 3.5 ka 10d681k 680v p 7.5 mm 560v 680 612 748 612v 1120v 748v 6kv 3ka through hole ste
__label__功率电感 , 	phc0420 8r2m t 8.2 uh ± 20% 1.8 a smd 4.45 x4.06 x2mm emtek 兆欣
__label__蜂鸣器 , 	蜂鸣器 hn 1206 无源 2k 12mm * pitch6.5 mm d12xp6 5 ws0d0001 1 9200
__label__云母电容 , 	云母 ptfe 电容器 cornelldubilierelectronics cde 零件 有源 电容 30pf ± 5% 500v 云母 55 ° c 125 ° c 通孔 引线 间距 0.232 5.90 mm 0.449 x0.169 11.40 mmx4.30 mm 0.358 9.10 mm
__label__水泥电阻 , 	bgrv20tq240 j ± 5% 24 ω
__label__贴片电阻 , 	erj 2rkf1501x r2 r19 res smd 1.5 k 1% 1 16w 0402 res 1.5 k 1% 0402 p1.50 klct nd 1.5 kohms 1 16w r0402
__label__线对板线对线连接器 , 	19 09 2153 管脚 插座 连接器 2.36 mm plug house 15 ckt
__label__模数转换芯片 , 	u7 ad9271bsvz 40 ic adc oct 12bit 40msps 100 tqfp analog devices inc ad9271bsvz 40 newark 52m2990 114.29
__label__PTC热敏电阻 , 	ptc tfpt0603l1000fv 541 3526 6 nd thermistor ptc 100 ohm 1% 0603
__label__发光二极管 , 	hl af 3528s39fu70gh203bc a s1 hl 全彩 3528rgb 全彩 20ma smd 3.5 mmx2.8 mmx1.4 mm
__label__DC-DC芯片 , 	集成 ic 5.5 v 30v 55 to 125 ° c sn55451bjg dip 8 18
__label__贴片电阻 , 	360r lc 0805 r 2 110 0.015
__label__功率电感 , 	ynr8040 101m 290m ω ± 20% 100uh 1a smd 8.0 x8.0 x4.2 mm yjycoin 益嘉源
__label__碳膜电阻 , 	carbon film resistor cr18w68kjm1010 碳膜 電阻 1 8w 5% 68k m 10 * 10 * 10 20000
__label__无源晶体振荡器 , 	industery crystal 27mhz 20ppm 15pf 4p 3.2 * 2.5 mm 27m 1 y1 xtl4p 3 2x2 5
__label__FFCFPC连接器 , 	ffc 连接线 20p 间距 0.5 mm 20cm 同向 lianxian 连线
__label__按键开关 , 	tk 6850 1 自锁 开关 8.5 * 8.5 * 13.8 有声 有锁 导 插件 双排 6p 按键 开关 带锁 dip 六脚 through hole yuandi 元迪
__label__功率电感 , 	l1 inductor 2.2 μ h 20% 12 a ihlp4040dzer2r2m01
__label__电容器阵列与网络 , 	电容器 阵列 网络 ckca43x7r1c104m100aa ckca43x7r1c104m100aa 电容器 阵列 网络 1206 16v 0.1 uf x7r 20% 4 n 1
__label__排阻 , 	r13 res pack 0402 smd 4 75r ± 5% res pack exb28v alt top res array 75 ohm 5% 4 res smd ecg exb 28v750jx y7750ct nd 65.25 55.25 180
__label__贴片电阻 , 	32 8829 1 1000 res smd 1206 0r0 1 4w 5% rc1206jr 7w0rl
__label__排针排母 , 	pz200v 11 03p 间距 2.0 mm 排针 3p 单排 直插 through hole p 2.00 mm
__label__功率电感 , 	swrh1207b 1r0nt ± 30% 1uh smd 12.5 x12.5 x8mm max sunlord
__label__贴片高精密-低温漂电阻 , 	rt1206frd07330kl res smd 330k ohm 1% 1 4w 1206
__label__拨码开关 , 	epm 02 v t r 2pin 位 间距 2.54 mm 贴片 拨码 开关 拨 长杆 smd diptronics
__label__轻触开关 , 	uk b02124 g4.3 160 160gf 轻触 6 * 6 * 4.3 支架 6 * 6 * 4.3 usakro 美韩
__label__安规电容 , 	b32021a3682k289 ± 10% mkp 10 300vac y2 安规 电容 300v 6.8 nf through hole
__label__贴片电容 , 	cdec cdec2 cap ceramic 1 μ 25 v x5r 0402 c1005x5r1e105k050bc
__label__功率电感 , 	fnr252010s3r3mt 磁封胶 功率 绕线 电感 3.3 ± 20% μ h 饱和电流 1.3 a 2.5 2.0 1.0 mm cjiang
__label__排针排母 , 	a2005wv 6p 针座 连接器 0.079 2.00 mm 2.0 排针 直插 6 位 连接器
__label__压敏电阻 , 	07d180k 18v 21.6 v 14.4 v 250a 14v 40v 18 14.4 21.6 through hole cov 德欣
__label__贴片电感 , 	12 c0200110 贴片 电感 6r8m 6d28 6.8 μ h m ± 20% 6.7 * 6.7 * 28 smd smd 1 500
__label__轻触开关 , 	ts 1102s c a b 6 * 6 * 4.3 贴片 260gf xkb
__label__贴片高精密-低温漂电阻 , 	arg06ftc0390 ± 25ppm ℃ ± 1% 1 4w 贴型 贴型 39 ω 39r0 39 1206
__label__直插电解电容 , 	electrolytic capacit ecd1000u25v1015a ec dip 1000 uf 25v 10 * 15mm gr1022515 3000
__label__采样电阻 , 	pa1206frf070r006l 0.006 1 4w 贴型 6m ω r006 ± 100ppm ° c 贴型 ± 1% 1206
__label__功率电感 , 	scd0503t 150m n ± 20% 15uh smd 5.8 x5.2 x3mm chilisin
__label__锅仔片 , 	600 415s 260 圆弹 4 hyp 鸿源 精密
__label__贴片电容 , 	10u x5r 10u 10v x5r c62 1210 c62 3374.016 2149.606 90.0 top
__label__FFCFPC连接器 , 	afc08 s08ecc fpc 连接器 0.8 mm 卧式 上接 8p js
__label__可调电阻电位器 , 	rk11k1130a07 电位计 11mm 10k audio taper w o center detent alps 阿尔卑斯
__label__轻触开关 , 	ts 1102 4316 轻触 开关 ts 1102 6 * 6 * 4.3 mm sofng 硕方
__label__金属膜电阻 , 	003 1003205010 p0901008 conventional metal film resistor 0.25 w 100k 1% mf25 100k multico 12.0 2.0 122.4 allchips multico 150.0 2.0 0.0231 e
__label__采样电阻 , 	rl13ftnr300 ± 1% 0.3 ± 200ppm ° c 贴型 贴型 1 2w 0.3 ω r300 1210 ta i
__label__贴片电阻 , 	r5 r7 r18 r19 res 0.0 ohm 1 10w jump smd 0402 erj 2ge0r00x 0 resistor
__label__功率电感 , 	scds2d18hp 4r7m n 4.7 uh ± 20% smd 3.2 x3.2 x2mm chilisin
__label__TVS二极管(瞬态电压抑制二极管) , 	53 1 57a.06 30140001 tvs 二极管 sp4203 01ftg c tvs 二极管 3.3 v 10a 40 125 ℃ sod 323 2 sod 323 sp4203 01ftg c d8 d9 24
__label__谐振器 , 	crystals resonators cer . res z092992 cstcr4m00g53 r0 cstcr4m00g53 r0 mur 4.00 mhz 3l smt ceramic res 3000
__label__安规电容 , 	2 y2 cap p 7.5 mm cs85 b2ga331kyas fbln 4 r04029 2 3 cy1 2 3 4
__label__采样电阻 , 	sy2512cfr001 合金 电阻 0.001 700ppm ° c 贴型 300ppm ° c 0.001 ω r001 3w 贴型 ± 1% 2512 sanyear 叁 叶源
__label__压敏电阻 , 	112kd20j through hole brightking
__label__功率电感 , 	cdepi99np 5r0pc ± 25% 5uh 10.5 * 9.5 * 10 sumida
__label__开关二极管 , 	091804 030301 二极管 1n4148 0402 480
__label__无源晶体振荡器 , 	58 贴片 晶振 25m 5032 y1 1
__label__功率电感 , 	nrs6010t2r2mmgf 固定 电感器 6010 2.2 uh 132mohms 20% tol 1700ma taiyo
__label__贴片电容 , 	64 310008100 5 14000 cap 10nf 25v x7r 0402 ecj 0eb1e103k
__label__采样电阻 , 	cr2512jr036e04z 1w 0.036 ω r036 贴型 0.036 ± 5% ± 1800ppm ° c 贴型 2512 ever ohms 天二
__label__发光二极管 , 	19 217uyoc s3077 tr8 橙光 0603
__label__氧化铌电容 , 	nojc336m006rwj 478 3216 2 nd cap niob oxid 33 uf 20% 6.3 v 2312
__label__贴片高精密-低温漂电阻 , 	rn732attd4301b25 薄膜 电阻器 smd 0805 4k30 ohms 0.1% 25ppm koa
__label__轻触开关 , 	ts 1095s a13b3 c2d1 轻触 开关 6 * 6 * 10mm 贴片 四脚 smd 黑柄 250gf yuandi 元迪
__label__螺丝钉接线端子 , 	39890 0404 固定 接线 端子 35 degree 5.00 mm 4 a degree 5.00 mm 4 asy
__label__压敏电阻 , 	压敏 电阻 10d390k 间距 7mm 7000
__label__功率电感 , 	hpc6045nf 4r7mth ± 20% 4a 4.7 uh smd 6x6x4.2 mm tai tech
__label__功率电感 , 	sqh3010s 150m lf 400ma ± 20% 15uh smd 3.1 x3.1 x1mm coilmaster 统宇 电研
__label__贴片电感 , 	0805 15uh 50 0 uygun enduktans de ğ erli fb muadil
__label__贴片高精密-低温漂电阻 , 	ar02btc0750 75 75 ω 0750 ± 0.1% 贴型 ± 25ppm ℃ 贴型 1 16w 0402
__label__功率电感 , 	prs4018 220mt ± 20% 22uh smd 4x4x1.8 mm fenghua
__label__功率电感 , 	prs6028 3r3nt 3.3 uh ± 30% smd 6x6x2.8 mm fenghua
__label__功率电感 , 	sds0804t 150m n 1.5 a ± 20% 15uh smd 12.95 x9.4 x5.08 mm chilisin
__label__背板连接器 , 	con 20 pin lcd connector samc bcs 120 l s samc agm1264 cabinet
__label__采样电阻 , 	cr1210jr068p05r 0.068 贴型 ± 5% 贴型 ± 800ppm ° c 1 2w 0.068 ω r068 1210 ever ohms 天二
__label__放大器 , 	op07c 运放器 u5 u7 so 8 20 2
__label__线性稳压芯片LDO , 	5.0 ldo rt9193 33 sot23 5 3.3 v 1.0 u4 3000
__label__轻触开关 , 	dts 69k v 俗称 6 * 6 * 19.5 100gf 克力 直插 轻触 开关 6.2 * 6.2 * 19.5 mm diptronics
__label__轻触开关 , 	tsa245g00d 250 轻触 开关 2 * 4 带柱侧 250gf bright
__label__压敏电阻 , 	rm10d511kd1iecw0 压敏 电阻 压敏 510 459 561 v 钳位 845v 浪涌 电流 2.5 ka 脚距 7.5 mm dersonic
__label__贴片电容 , 	c205 10u x5r nm
__label__功率电感 , 	tprhc1207f 331m 0.95 a ± 20% 330uh smd 12.8 x12.8 x8.5 mm tai tech
__label__压敏电阻 , 	ste14d391k1en0fsb0r0 390v 390 351 429 6 50v 429v 320v 4.5 ka 品 351v 14d391k through hole ste
__label__直插瓷片电容 , 	de2e3ky222ma3bu02f 瓷片 电容器 2200pf 300vac x1 y2 halogen free
__label__无源晶体振荡器 , 	72.0 crystal 30m 10pf 3225 x2 1.0 10
__label__功率电感 , 	ssl0503hc 2r2m n 2.2 uh ± 20% 3.1 a smd 8.89 x6.1 x5.0 mm chilisin
__label__贴片电阻 , 	电阻 1.69 k r0603 1 2
__label__压敏电阻 , 	b72500d0160h060 65v min 16v 0603
__label__钽电容 , 	6 c11 c25 c48 c53 c68 5 size b condensatore 10 uf 16v tantalio ntc l smd prime
__label__按键开关 , 	spun190900 按钮开关 2 poles straight momentary alps 阿尔卑斯
__label__功率电感 , 	swpa5020s8r2mt 片式 电感 8.2 μ h ± 20% dcr 0.098 ω 5.0 5.0 mm sunlord
__label__螺丝钉接线端子 , 	phoenix 1733732 固定 接线 端子 3p 7.62 mm 35deg
__label__稳压二极管 , 	d24 25 16v smbj5353b tp 16v diode zener 5w 16v smb micro commercial co smbj5353b tp digi key smbj5353b tpmsct nd 0.9
__label__轻触开关 , 	k2 1103sp p4sw 04 smd hro
__label__压敏电阻 , 	330kd20 p10 through hole brightking
__label__贴片电感 , 	smd inductors 0806 size 1uh fn 151 5552 pc 1100.0
__label__压敏电阻 , 	rm07d561kc14ecw0 压敏 电阻 压敏 560 504 616 v 钳位 915v 浪涌 电流 1.2 ka 脚距 5.08 mm dersonic
__label__绕线电阻 , 	resistors wire wound t301304 knp02sj056ka10 0r56 2w 5% knp s wirewound resistor royal ohm 400
__label__电容器阵列与网络 , 	w3a43c331kat2a w3a43c331kat2a 电容器 阵列 网络 25volts 330pf 10% 0612 x7r 4caps
__label__线对板线对线连接器 , 	amp 5 103958 2 . wire connector receptacle 3 position 2.54 mm
__label__压接端子 , 	19058 0117 端子 ring avikrimp h d b imp h d b 840 38hd
__label__贴片高精密-低温漂电阻 , 	arg03ftc1602 ± 25ppm ℃ 1 10w ± 1% 贴型 16k ω 1602 16k 贴型 0603
__label__PCB等原型产品 , 	10 1 91a . sv0222 812c02 电路板 1.6 h fr 4 2 层 1oz 铜 green oil white 沉金 阻焊 1 自研 12
__label__功率电感 , 	slw5040s151mst 150uh ± 20% 0.5 a smd 5x5x4mm sunltech
__label__直插电解电容 , 	70201001710 铝 电解电容 铝 电解电容 16v 1000 uf ± 20% 8 * 20mm 105 ° c 9000h 105 ° c 2pin dip eeu fr1c102l 10
__label__贴片高精密-低温漂电阻 , 	arg03dtc2701 贴型 2.7 k ω 2701 贴型 ± 25ppm 2.7 k ± 0.5% 1 10w 0603
__label__可调电阻电位器 , 	3362s 1 102lf trimmer 1k ohm 0.5 w pc pin
__label__采样电阻 , 	ww12wr050jtl 1 3w ± 5% 0.05 ω r05 ± 100ppm ° c 0.05 贴型 贴型 1206
__label__压敏电阻 , 	ste20d301k1dq0fst0r0 270v 2 50v 6.5 ka 300 270 330 330v 300v 500v 品 20d301k through hole ste
__label__压敏电阻 , 	rm10d561kd14ecw0 压敏 电阻 压敏 560 504 616 v 钳位 915v 浪涌 电流 2.5 ka 脚距 7.5 mm dersonic
__label__贴片电容 , 	208.0 11003042 贴片 电容 105 1206 30000.0
__label__功率电感 , 	wpn201610m1r0mt 片式 电感 1uh ± 20% dcr 0.075 ω 2.0 1.6 mm sunlord
__label__金属膜电阻 , 	resistors metal film t413516 sfr25h0004703ja500 470k 0.5 w 5% sfr25h mf resistor 2322 186 76474 5000
__label__贴片电阻 , 	160.0 1.0 r57 191r 1% r0603 res mf 191.0 ohm 1 10w 1% 0603 20
__label__可调电阻电位器 , 	rk09k1110ah8 电位计 20 kohms 30% alps 阿尔卑斯
__label__功率电感 , 	mhch252010a 1r0m q8 3a ± 20% 1uh smd 2.5 x2.0 x1.0 mm chilisin
__label__电池电源管理芯片PMIC , 	充电 ic 充电 管理 芯片 hl7057 开关 20v icharge 2500ma wlcsp 20p 2.02 * 1.97 * 0.59 mm 2kv 1 hl7057 希迪微 1 1000 u2
__label__直插瓷片电容 , 	cc3a681kc1geb45f30mf ± 10% 1kv 680pf 5.08 680pf 681 1kv through hole p 5.08 mm dersonic
__label__贴片电容 , 	c103 c107 10p 0.05 50v c0g
__label__采样电阻 , 	lcsr2512fr009q9l ± 50ppm ± 1% 3w 0.009 0.009 ω ± 50ppm ° c 贴型 贴型 2512 resistortoday 开步
__label__采样电阻 , 	1206w4j030lt5e ± 5% ± 800ppm ° c 1 4w 0.03 ω r03 0.03 贴型 贴型 1206 uni royal
__label__采样电阻 , 	asr 5 2j t 2m ω ± 50ppm ° c 贴型 0.002 ± 5% 6w 贴型 3920 yezhan
__label__功率电感 , 	mwsa1206s 680mt 68uh ± 20% smd 12.6 x13.45 x5.8 mm sunlord
__label__氧化铌电容 , 	nojd157m004rwj nojd157m004rwj nd cap niob oxide 150 uf 20% 4v 2917
__label__功率电感 , 	fnr4012s3r3nt 磁封胶 功率 绕线 电感 3.3 ± 30% μ h 饱和电流 2.1 a 4.0 4.0 1.2 mm cjiang
__label__发光二极管 , 	42 21 s2c avy 1t 橙光 smd 3.2 x2.4 mm
__label__板对板连接器 , 	61083 104400lf 板对板 夹层 连接器 100p dr btb vt plug amphenol fci
__label__功率电感 , 	mai252010s 1r5mt ± 20% 1.5 uh smd 2.5 x2.0 x1.05 mm ceaiya 柯爱亚
__label__钽电容 , 	钽电容 taja105k016rnj 1.0 uf 16v 3.2 * 1.6 2k 2800 2800
__label__钽电容 , 	a44 c06 s000028 cap tant 0.1 uf 35v 10% 1206 t491a104k035at kemet 钽电容 11
__label__轻触开关 , 	k2 1102st a4sc 04 简便 版 模板 导入 商品 k2 1102st a3sw 01 6 * 6mm hro
__label__功率电感 , 	83 2 l5 l6 22uh 2.2 a inductor 22uh 2.2 a 20% smd taiyo yuden nr8040t220m 8.00 mm x 8.00 mm x 4.00 mm ind nr8040 587 2002 1 nd
__label__板对板连接器 , 	5042483410 间距 0.40 mm smd
__label__直插电解电容 , 	capacitor thd aluminium electrolytic capacitors 100 uf 20% 25v 6.3 * 11mm pitch 2.5 mm teapo ksk107m025s1a1e11k 1 50000 . teapo . websitefile download % e7% b7% a8% e7% a2% bc% e5% 8e% 9f% e5% 89% 87 . pdf 特制 冲突
__label__功率电感 , 	hpc5040nf 470m ± 20% 1a 47uh smd 4.95 x4.95 x3.9 mm tai tech
__label__安规电容 , 	x2q3223kn1b0130110050es0 ± 10% 3 10v ac x2 10 22nf 22nf 223 through hole p 10mm ste
__label__行程开关 , 	mac 1210 0 aaa12 02 行程开关 yibao 亿宝
__label__直插瓷片电容 , 	ck45 r3ad221k pry 220pf 220pf 221 ± 10% 1kv 1kv through hole
__label__金属膜电阻 , 	resistors metal film t626392 pprr 193 15152 1k5 1w 5% pr01 mf resistor pprr 193 15152 pilkor 4000
__label__拨动开关 , 	v80102ms02q 滑动 开关 slide c k
__label__安规电容 , 	capacitors film capacitors e741623 bfc2 335 54334 330nf 275v 22.5 mm x2 mkp lg bfc2 335 54334 618
__label__有源晶体振荡器 , 	贴片 晶体振荡器 有源 有源 晶振 ovetgljanf 16mhz ovetgljanf 16.00 mhz smd 4p 500
__label__功率电感 , 	phc0412 1r0m t 1.0 uh ± 20% 4.2 a smd 4.45 x4.06 x1.2 mm emtek 兆欣
__label__无源晶体振荡器 , 	crystals resonators crystals z101268 607012 6.144 mhz hc 49u crystal hudson 284
__label__贴片高精密-低温漂电阻 , 	133 rt0603brb07100rl 100r 0.1% 10ppm 400 1000 1
__label__MOSFET , 	q4 mosfet n ch bsc057n08ns3 g 80v 100a rds 5.7 mohm smd pg tdson 8 bsc057n08ns3 g 80v 100a s tdson8 infineon bsc057n08ns3 g
__label__安规电容 , 	yx4393j 330nf ± 10% x2 安规 电容 275vac 黄色 l 25mm x2334k2eae70aah zwmec 18 * 16 * 10 p 15 crc 创容
__label__以太网芯片 , 	1394 接口 集成电路 mil enh 3 port cable xcvr arbiter
__label__无源晶体振荡器 , 	25 mhz crystal 2p citizen cs10 25.000 mabjtr fa 365 series 20 pf * * y1
__label__拨动开关 , 	ssss810201 滑动 开关 spdt horz grnd 2mm alps 阿尔卑斯
__label__功率电感 , 	clf7045nit 4r7n d 固定 电感器 4.7 uh 0.018 ohms 4.1 a 30% aec q200
__label__功率电感 , 	aspi 0428s 6r8m t 固定 电感器 6.8 uh 20% 40c 85c abracon
__label__贴片电容 , 	磁 电容 10nf c0603 4 8
__label__金属膜电阻 , 	470r 1 4w 1% metal film 0.114 2 0.79 271 470 rc xicon 271 470 quantity needed 2 271 470 rc 2
__label__贴片电容 , 	10pf 50v c6 0603
__label__功率电感 , 	xal5050 223mec 22uh 20% 5.28 * 5.48 * 5.1 mm coilcraft 3 51.0
__label__贴片电容 , 	c33 c35 c331 cap x5r 10 uf 10% 16v 0805 cl21a106koqnnne taiyo yuden emk212bj106kg t digi key 1276 1096 1 nd 0.0385 digi key 587 1295 1 nd 0.05355
__label__功率电感 , 	coilcraft xal4020 102mec 固定 电感器 1uh 20% 9.6 a 14.60 mohms aec q200 pl2 pl3 pl4 1 uh
__label__贴片电阻 , 	贴片 电阻 0603 1 10w 40.2 k ± 1% 1520 free
__label__安规电容 , 	smqp224k275xxd5b1515 ± 10% 15 220nf x2 安规 电容 0.22 uf 224 ± 10% 275v 275vac through hole p 15mm champion
__label__功率电感 , 	cdrr105np 220mc 固定 电感器 smd power inductor 22uh 2.35 a sumida
__label__薄膜电容 , 	px105k3ie5pl106e9r ± 10% 100 ℃ 40 ℃ 1 uf 105 275v 1 uf 22.5 through hole p 22.5 mm trumeter
__label__有源晶体振荡器 , 	贴片 晶振 crystal 156.2500 mhz 30ppm 6pin 20 70 ℃ 电压 3.3 v 1 70.0
__label__直插瓷片电容 , 	dece33j222zc4b 瓷片 电容器 2200pf 6300volts e 80 20%
__label__压敏电阻 , 	20d511k 561v 845v 6.5 ka 415v 5 10v 459v 510 459 561 through hole cov 德欣
__label__功率电感 , 	sm4532 330mt 贴片 功率 电感 33uh ± 20% 4532 sxn
__label__采样电阻 , 	ww12wr680jtl 0.68 贴型 0.68 ω r680 1 3w ± 5% ± 100ppm ° c 贴型 1206
__label__贴片电阻 , 	8 0.022 r 1206 1% r022 2 r5 6 6000
__label__贴片电容 , 	18 贴片 电容 cap0402 33pf ± 5% 50v cc0402jrnpo9bn330 51016
